Year,Count,Country
2012,5,Russia
2013,7,Russia
2014,8,Russia/Ireland
2015,8,Ireland
2016,11,Ireland
2017,8,Ireland
2018,9,Ireland/Mongolia
2019,8,Ireland/Mongolia
2020,3,Mongolia
